JobTitleID,JobTitle,Category,Description,IsRecommended
16,Chief Security Officer (CSO),Executive,"As a Chief Security Officer (CSO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
10,Chief Technology Officer (CTO),Executive,"As a Chief Technology Officer (CTO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
58,Cloud Engineer,Technology,"As a Cloud Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
125,Communications Manager,Marketing,"As a Communications Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
143,Compensation Analyst,Human Resources,"As a Compensation Analyst, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
118,Content Marketing Manager,Marketing,"As a Content Marketing Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
131,Content Writer,Marketing,"As a Content Writer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
82,Controller,Finance,"As a Controller, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
130,Copywriter,Marketing,"As a Copywriter, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
112,Customer Relationship Manager,Sales,"As a Customer Relationship Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
111,Customer Success Manager,Sales,"As a Customer Success Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
64,Data Engineer,Technology,"As a Data Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
65,Data Scientist,Technology,"As a Data Scientist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
63,Database Administrator,Technology,"As a Database Administrator, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
56,DevOps Engineer,Technology,"As a DevOps Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
116,Digital Marketing Specialist,Marketing,"As a Digital Marketing Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
109,Director of Sales,Sales,"As a Director of Sales, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
151,Diversity and Inclusion Specialist,Human Resources,"As a Diversity and Inclusion Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
121,Email Marketing Specialist,Marketing,"As a Email Marketing Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
148,Employee Relations Specialist,Human Resources,"As a Employee Relations Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
103,Enterprise Account Manager,Sales,"As a Enterprise Account Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
128,Events Manager,Marketing,"As a Events Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
19,Executive Director,Executive,"As a Executive Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
85,External Auditor,Finance,"As a External Auditor, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
81,Finance Director,Finance,"As a Finance Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
80,Finance Manager,Finance,"As a Finance Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
91,Financial Advisor,Finance,"As a Financial Advisor, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
4,Financial Analyst,Finance,"Conducted financial analysis and forecasting, identifying $1.2M in cost-saving opportunities.",true
4,Financial Analyst,Finance,Prepared monthly financial reports and presentations for senior management.,false
4,Financial Analyst,Finance,Developed financial models to evaluate potential acquisitions and business opportunities.,true
38,Financial Manager,Management,"As a Financial Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
92,Financial Planner,Finance,"As a Financial Planner, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
49,Front-End Developer,Technology,"As a Front-End Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
51,Full Stack Developer,Technology,"As a Full Stack Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
21,General Manager,Executive,"As a General Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
5,Graphic Designer,Creative,"Created compelling visual content for marketing campaigns, increasing engagement by 28%.",true
5,Graphic Designer,Creative,"Redesigned company branding materials, maintaining brand consistency across all channels.",true
5,Graphic Designer,Creative,"Collaborated with product teams to improve UI/UX, resulting in 20% higher user satisfaction.",false
132,HR Assistant,Human Resources,"As a HR Assistant, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
136,HR Business Partner,Human Resources,"As a HR Business Partner, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
133,HR Coordinator,Human Resources,"As a HR Coordinator, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
137,HR Director,Human Resources,"As a HR Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
135,HR Generalist,Human Resources,"As a HR Generalist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
36,HR Manager,Management,"As a HR Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
134,HR Specialist,Human Resources,"As a HR Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
150,HRIS Analyst,Human Resources,"As a HRIS Analyst, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
37,IT Manager,Management,"As a IT Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
72,IT Support Specialist,Technology,"As a IT Support Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
100,Inside Sales Representative,Sales,"As a Inside Sales Representative, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
84,Internal Auditor,Finance,"As a Internal Auditor, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
89,Investment Analyst,Finance,"As a Investment Analyst, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
90,Investment Banker,Finance,"As a Investment Banker, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
104,Key Account Manager,Sales,"As a Key Account Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
46,Lead Software Engineer,Technology,"As a Lead Software Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
147,Learning and Development Manager,Human Resources,"As a Learning and Development Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
44,Logistics Manager,Management,"As a Logistics Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
66,Machine Learning Engineer,Technology,"As a Machine Learning Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
28,Manager,Management,"As a Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
28,Manager,Management,"Led a team of 10 professionals, overseeing daily operations and ensuring project deliverables were met on time and within budget.",true
28,Manager,Management,Developed and implemented strategic plans that resulted in 25% increase in department efficiency and 15% reduction in operational costs.,true
28,Manager,Management,"Managed cross-functional teams to deliver complex projects, coordinating resources and resolving conflicts to ensure successful outcomes.",false
28,Manager,Management,"Created and maintained project schedules, conducted regular status meetings, and communicated progress to executive leadership.",false
20,Managing Director,Executive,"As a Managing Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
115,Marketing Analyst,Marketing,"As a Marketing Analyst, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
113,Marketing Coordinator,Marketing,"As a Marketing Coordinator, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
124,Marketing Director,Marketing,"As a Marketing Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
3,Marketing Manager,Marketing,"Launched successful digital marketing campaigns, increasing lead generation by 35%.",true
3,Marketing Manager,Marketing,"Managed a team of 5 marketing professionals, consistently meeting quarterly targets.",false
3,Marketing Manager,Marketing,"Developed and executed content strategy, resulting in 45% increase in website traffic.",true
114,Marketing Specialist,Marketing,"As a Marketing Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
53,Mobile Developer,Technology,"As a Mobile Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
108,National Sales Manager,Sales,"As a National Sales Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
61,Network Engineer,Technology,"As a Network Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
157,New Test Title,Technology,This is a test description for CSV import,true
32,Operations Manager,Management,"As a Operations Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
101,Outside Sales Representative,Sales,"As a Outside Sales Representative, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
126,PR Specialist,Marketing,"As a PR Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
145,Payroll Manager,Human Resources,"As a Payroll Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
144,Payroll Specialist,Human Resources,"As a Payroll Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
17,President,Executive,"As a President, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
47,Principal Software Engineer,Technology,"As a Principal Software Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
70,Product Designer,Technology,"As a Product Designer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
1,Product Manager,Management,"Led cross-functional teams to deliver product features, increasing efficiency by 25%.",true
1,Product Manager,Management,Developed strategic roadmaps resulting in 30% growth year over year.,false
1,Product Manager,Management,Implemented new product development processes that reduced time-to-market by 15%.,true
123,Product Marketing Manager,Marketing,"As a Product Marketing Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
31,Program Manager,Management,"As a Program Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
30,Project Manager,Management,"As a Project Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
127,Public Relations Manager,Marketing,"As a Public Relations Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
62,QA Engineer,Technology,"As a QA Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
42,Quality Manager,Management,"As a Quality Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
139,Recruiter,Human Resources,"As a Recruiter, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
141,Recruiting Manager,Human Resources,"As a Recruiting Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
107,Regional Sales Manager,Sales,"As a Regional Sales Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
39,Retail Manager,Management,"As a Retail Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
105,Retail Sales Associate,Sales,"As a Retail Sales Associate, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
120,SEM Specialist,Marketing,"As a SEM Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
119,SEO Specialist,Marketing,"As a SEO Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
94,Sales Associate,Sales,"As a Sales Associate, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
97,Sales Director,Sales,"As a Sales Director, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
102,Sales Engineer,Sales,"As a Sales Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
95,Sales Executive,Sales,"As a Sales Executive, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
35,Sales Manager,Management,"As a Sales Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
93,Sales Representative,Sales,"As a Sales Representative, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
60,Security Engineer,Technology,"As a Security Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
75,Senior Accountant,Finance,"As a Senior Accountant, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
79,Senior Financial Analyst,Finance,"As a Senior Financial Analyst, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
27,Senior Manager,Management,"As a Senior Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
45,Senior Software Engineer,Technology,"As a Senior Software Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
57,Site Reliability Engineer (SRE),Technology,"As a Site Reliability Engineer (SRE), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
117,Social Media Manager,Marketing,"As a Social Media Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
48,Software Developer,Technology,"As a Software Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
2,Software Engineer,Technology,"Developed high-performance, scalable applications using React and Node.js.",true
2,Software Engineer,Technology,"Implemented automated testing solutions, reducing bugs in production by 40%.",true
2,Software Engineer,Technology,"Optimized database queries, resulting in a 50% improvement in application response time.",false
41,Store Manager,Management,"As a Store Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
43,Supply Chain Manager,Management,"As a Supply Chain Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
73,System Administrator,Technology,"As a System Administrator, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
59,Systems Engineer,Technology,"As a Systems Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
138,Talent Acquisition Specialist,Human Resources,"As a Talent Acquisition Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
149,Talent Development Manager,Human Resources,"As a Talent Development Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
86,Tax Accountant,Finance,"As a Tax Accountant, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
87,Tax Manager,Finance,"As a Tax Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
6,Tbz,Management,testing phase,false
6,Tbz,Management,testing phase,true
6,Tbz,Management,"Developed an innovative AI-driven resume builder platform, streamlining the document creation process and improving user experience.",true
6,Tbz,Management,Led the technical architecture and implementation of a modular resume template engine with support for multiple export formats.,true
6,Tbz,Management,"Integrated advanced job description suggestion features using natural language processing techniques, resulting in 40% faster resume completion.",true
6,Tbz,Management,"Created responsive design systems with dynamic animations and UI elements, improving user engagement metrics by 35%.",false
6,Tbz,Management,"Implemented a comprehensive admin interface for managing over 500 job titles and descriptions, with robust search and filtering capabilities.",false
155,Tbz1,Finance,Test tbz 1,false
156,Tbz23,Management,Testing 23 ,true
140,Technical Recruiter,Human Resources,"As a Technical Recruiter, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
71,Technical Support Specialist,Technology,"As a Technical Support Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
106,Territory Sales Manager,Sales,"As a Territory Sales Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
146,Training Specialist,Human Resources,"As a Training Specialist, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
88,Treasurer,Finance,"As a Treasurer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
68,UI Designer,Technology,"As a UI Designer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
69,UX Designer,Technology,"As a UX Designer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
110,VP of Sales,Sales,"As a VP of Sales, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
18,Vice President,Executive,"As a Vice President, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
52,Web Developer,Technology,"As a Web Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
54,iOS Developer,Technology,"As a iOS Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
